id_paciente,fecha_toma,glucosa_mg_dl
505-76-8428,2025-01-06,105
977-57-5750,2025-07-12,131
762-86-5574,2025-03-20,107
310-58-8327,2025-08-26,139
308-63-9605,2025-03-12,88
969-72-6246,2025-06-01,79
692-83-8863,2025-07-26,125
253-92-8809,2025-02-14,74
610-79-8700,2025-11-01,137
027-79-9550,2025-08-14,90
178-96-4500,2025-04-19,82
534-26-4187,2025-11-10,90
619-31-3294,2025-11-04,124
636-98-2097,2025-11-12,71
544-23-8663,2025-01-06,84
095-35-2657,2025-08-02,138
347-03-4780,2025-03-04,125
389-99-4289,2025-02-12,73
175-76-7675,2025-07-15,136
075-98-4033,2025-03-21,87
753-45-0139,2025-04-08,93
029-48-1061,2025-10-27,111
805-77-5282,2025-02-20,99
049-15-4877,2025-11-12,121
693-34-3837,2025-06-26,126
881-26-0818,2025-07-28,134
285-09-6110,2025-05-07,115
539-66-1792,2025-09-30,96
730-84-3496,2025-08-19,93
943-79-8870,2025-04-20,118
347-99-2227,2025-06-02,121
523-98-3508,2025-11-09,79
744-16-2387,2025-05-25,126
794-49-3575,2025-09-06,97
481-80-1603,2025-04-27,72
124-10-2255,2025-08-03,95
470-49-9453,2025-03-21,92
440-45-4712,2025-03-31,77
375-68-2024,2025-05-19,86
515-93-4866,2025-01-15,106
579-94-2052,2025-09-16,108
844-64-2325,2025-05-21,73
160-30-9546,2025-08-31,72
301-92-8430,2025-04-04,82
916-49-5420,2025-01-03,73
172-92-7801,2025-07-07,88
825-97-9746,2025-08-08,91
718-15-7996,2025-03-26,129
259-55-3451,2025-11-14,123
655-94-4996,2025-01-17,85
